accuracy,balanced_accuracy,macro_f1,model,target,fold
0.986420423682781,0.9863539210952368,0.9863818347137907,logistic_pca,p53,0
0.9636067354698533,0.962673142651556,0.9634354606102735,random_forest_pca,p53,0
0.9875067897881586,0.9875007100860624,0.9874727261162137,mlp_pca,p53,0
0.9820652173913044,0.9822754529330011,0.9820231585061814,logistic_pca,p53,1
0.9625,0.9617837224925623,0.9623424893643338,random_forest_pca,p53,1
0.9820652173913044,0.9821593390513496,0.9820192830751764,mlp_pca,p53,1
0.9864130434782609,0.9862873060276138,0.9863719815050014,logistic_pca,p53,2
0.9646739130434783,0.963441307394914,0.9644769814701124,random_forest_pca,p53,2
0.9885869565217391,0.9882351756340944,0.9885467639717476,mlp_pca,p53,2
0.9875,0.9874934685941571,0.987465164145038,logistic_pca,p53,3
0.967391304347826,0.9668921408674656,0.9672700364298725,random_forest_pca,p53,3
0.9853260869565217,0.985429485106025,0.9852885043342352,mlp_pca,p53,3
0.9869565217391304,0.9870355296629498,0.9869223907859714,logistic_pca,p53,4
0.9728260869565217,0.9723423842919245,0.9727250303582271,random_forest_pca,p53,4
0.9858695652173913,0.9860615948597096,0.9858356772760918,mlp_pca,p53,4
0.9945681694731124,0.994212267837045,0.9943013145769432,logistic_pca,cenpa,0
0.9581749049429658,0.9559540513999346,0.9569335600375046,random_forest_pca,cenpa,0
0.9896795219989136,0.9890432565758293,0.9892273648904834,mlp_pca,cenpa,0
0.9918478260869565,0.9914228386413763,0.9914782051803357,logistic_pca,cenpa,1
0.9510869565217391,0.9479520417546595,0.9490321126579623,random_forest_pca,cenpa,1
0.9896739130434783,0.9891588842791436,0.9891884585312248,mlp_pca,cenpa,1
0.9951086956521739,0.995038612978543,0.9949918818003448,logistic_pca,cenpa,2
0.9532608695652174,0.9502816235711954,0.9517764095581812,random_forest_pca,cenpa,2
0.9951086956521739,0.9948747598718493,0.9948969224739193,mlp_pca,cenpa,2
0.9923913043478261,0.9921061936354171,0.992027496898615,logistic_pca,cenpa,3
0.9543478260869566,0.9512612810419746,0.9523817089446941,random_forest_pca,cenpa,3
0.9902173913043478,0.9897209819478797,0.989910385158297,mlp_pca,cenpa,3
0.9945652173913043,0.9942048140505214,0.9943882892522682,logistic_pca,cenpa,4
0.9635869565217391,0.961533746024883,0.9625615271982436,random_forest_pca,cenpa,4
0.9934782608695653,0.9932987994791858,0.9931960905793392,mlp_pca,cenpa,4
0.9837045084193373,0.982006435356197,0.9819369181684849,logistic_pca,condition,0
0.9299293862031505,0.9211946291887331,0.9227086722567761,random_forest_pca,condition,0
0.9837045084193373,0.981473324254207,0.9818577112381365,mlp_pca,condition,0
0.9836956521739131,0.9824486648854931,0.9821056894569407,logistic_pca,condition,1
0.9298913043478261,0.9228311788350511,0.9247866744343612,random_forest_pca,condition,1
0.9793478260869565,0.9779406975061636,0.9777776414282155,mlp_pca,condition,1
0.9831521739130434,0.981699092468823,0.9813195086575593,logistic_pca,condition,2
0.9326086956521739,0.9269372304046399,0.9290175590709305,random_forest_pca,condition,2
0.9831521739130434,0.9813551913028792,0.9813313022484111,mlp_pca,condition,2
0.9864130434782609,0.9856546799998767,0.9850555266995666,logistic_pca,condition,3
0.9282608695652174,0.9209406017047486,0.9232093555536655,random_forest_pca,condition,3
0.9820652173913044,0.9808622948283311,0.9804341917987437,mlp_pca,condition,3
0.9782608695652174,0.9762654606860425,0.976266871034739,logistic_pca,condition,4
0.9201086956521739,0.911364364957259,0.9139000437546775,random_forest_pca,condition,4
0.9728260869565217,0.9703122534729768,0.9706872957844084,mlp_pca,condition,4
