gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000168209,ENSG00000168209.4,1.473715,0.34270072,9147,0.994131072709488,21592,-0.6333144,0.29206014,0.9253755,DDIT4,protein_coding,DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944],10
ENSG00000205420,ENSG00000205420.10,2.0615468,0.3145817,9191,0.998913161612868,6135,-0.70503926,0.07295346,0.77799374,KRT6A,protein_coding,keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443],12
ENSG00000197061,ENSG00000197061.4,2.0374765,1.1684338,9084,0.9872839908705576,13767,-0.36301816,0.3967402,0.75975937,H4C3,protein_coding,H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787],6
ENSG00000185088,ENSG00000185088.13,1.1621652,0.1976971,9165,0.9960873818063254,798,0.1432296,-0.49259835,0.635829,RPS27L,protein_coding,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476],15
ENSG00000205426,ENSG00000205426.10,2.7265108,0.36176118,9199,0.9997826323225736,7445,-0.49018812,0.11494589,0.605135,KRT81,protein_coding,keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458],12
ENSG00000186081,ENSG00000186081.11,1.5187532,0.24403434,9172,0.9968481686773176,4331,-0.4713521,0.10706735,0.57842046,KRT5,protein_coding,keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442],12
ENSG00000104131,ENSG00000104131.12,1.6764052,0.14246617,9198,0.9996739484838604,3784,-0.120485425,0.4506265,0.57111293,EIF3J,protein_coding,eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270],15
ENSG00000018699,ENSG00000018699.12,0.4742301,0.12335105,7695,0.8363221388979458,19144,0.5129908,-0.039287537,0.5522793,TTC27,protein_coding,tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986],2
ENSG00000183696,ENSG00000183696.13,0.95930403,0.17231964,9072,0.9859797848059992,1583,-0.32950288,0.21666956,0.54617345,UPP1,protein_coding,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576],7
ENSG00000164687,ENSG00000164687.10,2.152324,0.1392408,9201,1.0,18429,-0.30654716,0.21579242,0.5223406,FABP5,protein_coding,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],8
ENSG00000104980,ENSG00000104980.7,0.84112686,0.11282172,9049,0.983480056515596,4766,-0.1556077,0.34712273,0.50273144,TIMM44,protein_coding,translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316],19
ENSG00000136997,ENSG00000136997.17,1.0155437,0.23554483,8956,0.97337245951527,15942,-0.49118823,0.00024998188,0.49143922,MYC,protein_coding,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]",8
ENSG00000197245,ENSG00000197245.5,0.95317596,0.36413938,8781,0.954352787740463,9653,-0.10959315,0.36633497,0.47592914,FAM110D,protein_coding,family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860],1
ENSG00000105974,ENSG00000105974.11,1.8399389,0.18720263,9196,0.999456580806434,12455,-0.46382558,0.004173279,0.46799988,CAV1,protein_coding,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527],7
ENSG00000147604,ENSG00000147604.13,2.231603,0.07615479,9201,1.0,22039,0.21122098,-0.2550521,0.46627408,RPL7,protein_coding,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363],8
ENSG00000054148,ENSG00000054148.17,1.386658,0.11480284,9198,0.9996739484838604,7939,0.10151279,-0.35963595,0.46114975,PHPT1,protein_coding,phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033],9
ENSG00000184220,ENSG00000184220.11,1.0562743,0.11306687,9142,0.9935876535159222,21321,-0.14302158,0.31573552,0.45875812,CMSS1,protein_coding,cms1 ribosomal small subunit homolog [Source:HGNC Symbol;Acc:HGNC:28666],3
ENSG00000196754,ENSG00000196754.10,4.4264994,0.24748209,9201,1.0,5075,-0.34234285,-0.11162472,0.45396858,S100A2,protein_coding,S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492],1
ENSG00000135480,ENSG00000135480.15,3.3299005,0.15584011,9201,1.0,9095,-0.38896227,0.047083378,0.43604666,KRT7,protein_coding,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445],12
ENSG00000170515,ENSG00000170515.13,2.117761,0.104593664,9201,1.0,793,-0.25223327,0.17870784,0.43094212,PA2G4,protein_coding,proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550],12
ENSG00000115053,ENSG00000115053.15,1.9596936,0.18042003,9200,0.9998913161612868,11169,-0.2170186,0.20486581,0.42188543,NCL,protein_coding,nucleolin [Source:HGNC Symbol;Acc:HGNC:7667],2
ENSG00000136448,ENSG00000136448.11,0.66806316,0.09772239,8856,0.9625040756439518,7462,0.08765596,0.33142537,0.41908234,NMT1,protein_coding,N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857],17
ENSG00000079785,ENSG00000079785.14,1.2317395,0.1150519,9184,0.998152374741876,19809,-0.115677476,0.29975808,0.41543657,DDX1,protein_coding,DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734],2
ENSG00000189403,ENSG00000189403.14,1.7498026,0.16073738,9190,0.9988044777741548,7356,-0.14002037,0.26992333,0.4099447,HMGB1,protein_coding,high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983],13
ENSG00000106211,ENSG00000106211.8,2.6331232,0.1420668,9201,1.0,7166,-0.1909213,0.21047258,0.4013949,HSPB1,protein_coding,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],7
ENSG00000122026,ENSG00000122026.10,1.9307972,0.10702977,9193,0.9991305292902946,3941,-0.25545633,0.14352608,0.39898342,RPL21,protein_coding,ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313],13
ENSG00000120708,ENSG00000120708.16,1.0303053,0.14962187,9153,0.9947831757417672,17298,-0.16466969,-0.2330302,0.3977009,TGFBI,protein_coding,transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771],5
ENSG00000213741,ENSG00000213741.10,4.2651644,0.113386415,9201,1.0,9958,-0.06451893,0.3236003,0.38812023,RPS29,protein_coding,ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419],14
ENSG00000125968,ENSG00000125968.8,1.1884155,0.24296272,9152,0.994674491903054,20253,-0.29086292,0.09568584,0.38654977,ID1,protein_coding,inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360],20
ENSG00000110651,ENSG00000110651.11,0.59199315,0.086010635,8715,0.9471796543853928,14896,0.22801107,0.15812856,0.38614064,CD81,protein_coding,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701],11
ENSG00000134046,ENSG00000134046.11,0.3778227,0.07440694,7711,0.8380610803173568,19653,0.25145513,0.13454658,0.38600272,MBD2,protein_coding,methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917],18
