gene_id	gene_symbol	biotype	description	seq_region_name
ENSG00000168209	DDIT4	protein_coding	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	10
ENSG00000205420	KRT6A	protein_coding	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	12
ENSG00000197061	H4C3	protein_coding	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	6
ENSG00000185088	RPS27L	protein_coding	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	15
ENSG00000205426	KRT81	protein_coding	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	12
ENSG00000186081	KRT5	protein_coding	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	12
ENSG00000104131	EIF3J	protein_coding	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	15
ENSG00000018699	TTC27	protein_coding	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]	2
ENSG00000183696	UPP1	protein_coding	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	7
ENSG00000164687	FABP5	protein_coding	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	8
ENSG00000104980	TIMM44	protein_coding	translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]	19
ENSG00000136997	MYC	protein_coding	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	8
ENSG00000197245	FAM110D	protein_coding	family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860]	1
ENSG00000105974	CAV1	protein_coding	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	7
ENSG00000147604	RPL7	protein_coding	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	8
ENSG00000054148	PHPT1	protein_coding	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]	9
ENSG00000184220	CMSS1	protein_coding	cms1 ribosomal small subunit homolog [Source:HGNC Symbol;Acc:HGNC:28666]	3
ENSG00000196754	S100A2	protein_coding	S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492]	1
ENSG00000135480	KRT7	protein_coding	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	12
