module_id,n_genes,mean_log,mean_var,mean_detected_fraction
0,61,0.58920556,0.13327357,0.8189558868333984
1,70,0.6019104,0.07492836,0.9453786079152887
2,17,0.83408177,0.07345106,0.9735898271926964
3,132,0.7053564,0.072452925,0.9647691456462243
4,95,0.94087154,0.096801475,0.9442062933662817
5,69,0.89651686,0.10790741,0.9240410226361658
6,160,0.9763378,0.07664983,0.9759829094663625
7,55,1.0560479,0.08518234,0.9335625574295284
8,61,0.85189235,0.09774846,0.948355577886224
9,169,1.0780903,0.08794366,0.9774606439099429
10,130,0.7388661,0.08203107,0.9589960957421017
11,168,0.7124447,0.072112456,0.9608246515647885
12,67,0.65161246,0.07648978,0.9503493293233862
13,94,0.7658142,0.09262035,0.9579798218047529
14,32,0.61057216,0.10534465,0.9037400825997174
15,29,1.4984322,0.07910783,0.979323836614461
16,154,0.9915661,0.09694325,0.9642670121965851
17,119,0.7637632,0.084821746,0.9420304150352674
18,120,1.1181983,0.09091214,0.9813679672499366
19,76,1.1838208,0.07263041,0.9877930888518982
20,34,0.7140212,0.12347946,0.8929655983684638
21,46,0.70476043,0.07696606,0.9076021982487725
22,27,1.0998464,0.07088456,0.989650883358089
23,16,2.8742168,0.09439338,0.9957137811107488
